Journal, Publisher, Selection for novelty/impact, IF, Journal policy quote, Journal policy link,ISI Subject category,ISI rank in category,ISI total in category,percentile
Ecology and Evolution, BES/Wiley,no,1.184, Original research papers must must report well-conducted research with conclusions supported by the data in the paper,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2045-7758/homepage/ProductInformation.html,Ecology,99,136,72.79411765
Evolutionary bioinformatics,LA press,no,1.229,focus on scientific validity--not impact,http://www.la-press.com/author_resources.php,Mathematical and computational biology,32,47,68.08510638
Biology Direct,BMC,no,2.72,"The journal aims to publish all manuscripts that have attracted sufficient interest of Editorial Board members to result in 3 reviews. The reviews may be highly critical of the work or even outright negative, which in itself does not preclude publication should the authors decide to proceed. However, the reviewer also has the option to recommend rejection of manuscripts that have no scientific substance, or do not meet the standards of a scientific work.",http://www.biologydirect.com/about/reviewers,Biology,18,83,21.68674699
BMC Developmental Biology,BMC,minor,2.728, It is journal policy to publish work deemed by peer reviewers to be a coherent and sound addition to scientific knowledge and to put less emphasis on interest levels  provided that the research constitutes a useful contribution to the field.,http://www.biomedcentral.com/bmcdevbiol/authors/instructions,Developmental biology,22,41,53.65853659
BMC Genetics, BMC,minor,2.81, It is journal policy to publish work deemed by peer reviewers to be a coherent and sound addition to scientific knowledge and to put less emphasis on interest levels  provided that the research constitutes a useful contribution to the field.,http://www.biomedcentral.com/bmcgenet/authors/instructions,Genetics and heredity,73,161,45.34161491
Scientific Reports, Nature,no,2.927, All papers are rapidly and fairly peer reviewed to ensure they are technically sound,http://www.nature.com/srep/about/index.html,Multidisciplinary sciences,8,56,14.28571429
BMC Bioinformatics, BMC,minor,3.02, It is journal policy to publish work deemed by peer reviewers to be a coherent and sound addition to scientific knowledge and to put less emphasis on interest levels  provided that the research constitutes a useful contribution to the field.,http://www.biomedcentral.com/bmcbioinformatics/authors/instructions,Mathematical and computational biology,6,47,12.76595745
BMC Evolutionary Biology, BMC,minor,3.29, It is journal policy to publish work deemed by peer reviewers to be a coherent and sound addition to scientific knowledge and to put less emphasis on interest levels  provided that the research constitutes a useful contribution to the field.,http://www.biomedcentral.com/bmcevolbiol/authors/instructions,Evolutionary biology,19,47,40.42553191
PLOS One, PLOS,no,3.73, PLOS ONE uses peer review to determine whether a paper is technically sound and worthy of inclusion in the published scientific record. Once the work is published in PLOS ONE  the broader community is then able to discuss and evaluate the significance of the article, http://www.plosone.org/static/reviewerGuidelines,Multidisciplinary sciences,7,56,12.5
Frontiers in Zoology,BMC,minor,3.871,Publication of research articles by Frontiers in Zoology is dependent primarily on their validity and coherence  as judged by peer reviewers and editors. The reviewers may also be asked whether the writing is comprehensible and how interesting they consider the article to be.,http://www.frontiersinzoology.com/about/reviewers,Zoology,2,151,1.324503311
EvoDevo,BMC,yes,3.91,EvoDevo publishes articles on a broad range of topics associated with the translation of genotype to phenotype in a phylogenetic context.,http://www.evodevojournal.com/about,Developmental biology,10,41,24.3902439
Evolutionary applications,Wiley,yes,4.153,The journal is especially interested in papers that make contributions to fundamental questions in evolutionary biology ,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1752-4571/homepage/ForAuthors.html,Evolutionary biology,12,47,25.53191489
BMC Genomics, BMC,minor,4.4, It is journal policy to publish work deemed by peer reviewers to be a coherent and sound addition to scientific knowledge and to put less emphasis on interest levels  provided that the research constitutes a useful contribution to the field.,http://www.biomedcentral.com/bmcgenomics/authors/instructions,Genetics and heredity,31,161,19.25465839
PLOS Neglected Tropical Diseases, PLOS,yes,4.569,"The journal publishes high-quality   peer-reviewed research on all scientific, medical, and public-health aspects of these forgotten diseases affecting the world's forgotten people.",http://www.plosntds.org/static/information,Tropical medicine,1,22,4.545454545
Genome Biology and Evolution,OUP/SMBE,yes,4.759,Genome Biology and Evolution (GBE) publishes leading original research at the interface between evolutionary biology and genomics. Papers considered for publication report novel evolutionary findings,http://www.oxfordjournals.org/our_journals/gbe/about.html,Genetics and heredity,27,161,16.77018634
PLOS Computational Biology, PLOS,yes,4.867,PLOS Computational Biology features works of exceptional significance that further our understanding of living systems at all scales,http://www.ploscompbiol.org/static/information,Mathematical and computational biology,4,47,8.510638298
BMC Biology, BMC,yes,6.53,"BMC Biology is the flagship biology journal of the BMC series, publishing peer-reviewed research and methodology articles of special importance and broad interest in any area of biology.",http://www.biomedcentral.com/bmcbiol/authors/instructions,Biology,5,83,6.024096386
PLOS Pathogens, PLOS,yes,8.136,PLOS Pathogens reflects the full breadth of research in these areas by publishing outstanding original articles that significantly advance the understanding of pathogens and how they interact with their host organisms.,http://www.plospathogens.org/static/information,Microbiology,11,116,9.482758621
PLOS Genetics, PLOS,yes,8.517,Our emphasis is on studies of broad interest that provide significant insight into a biological process or processes.,http://www.plosgenetics.org/static/information,Genetics and heredity,12,161,7.453416149
PLOS Biology, PLOS,yes,12.69,"PLOS Biology features works of exceptional significance, originality, and relevance in all areas of biological science, from molecules to ecosystems    including works at the interface of other disciplines, such as chemistry   medicine, and mathematics.",http://www.plosbiology.org/static/information,Biology,1,83,1.204819277
PLOS Medicine, PLOS,yes,15.253,PLOS Medicine is highly selective; for research articles the number of accepted articles was 3% the number of presubmission inquiries for September 2011-2012.,http://www.plosmedicine.org/static/information,"Medicine, general and internal",5,155,3.225806452
Applications in Plant Sciences, BSA,minor,NA,"Applications in Plant Sciences (APPS) is a monthly, online-only, open access, peer-reviewed journal promoting the rapid dissemination of newly developed, innovative tools and protocols in all areas of the plant sciences, including genetics, structure, function, development, evolution, systematics, and ecology.",http://www.bioone.org/page/apps/aims,NA,NA,NA,NA
BMC Ecology, BMC,minor,NA, It is journal policy to publish work deemed by peer reviewers to be a coherent and sound addition to scientific knowledge and to put less emphasis on interest levels  provided that the research constitutes a useful contribution to the field.,http://www.biomedcentral.com/bmcecol/authors/instructions,NA,NA,NA,NA
Ecosphere, ESA,no,NA,The journal publishes submissions from all subdisciplines of ecological science,http://www.esajournals.org/loi/ecsp,NA,NA,NA,NA
